State Name,District Name,Subdistrict Name,Facility Type,Facility Name,Facility Address,Latitude,Longitude,ActiveFlag_C,NOTIONAL_PHYSICAL,Location Type,Type Of Facility,Nin_N
Haryana,Mewat,Ferozepur Jhirka,chc,Ferozepur Jhirka,NA,27.75944,76.99409,Y,Physical,Rural,Public,1114677113
Haryana,Mewat,Punahana,chc,Punahana,NA,27.88703,77.19559,Y,Physical,Rural,Public,1114676511
Haryana,Mahendragarh,Nangal Choudhary,chc,Nangal Choudhary,NA,27.890667,76.114567,Y,Physical,Rural,Public,NA
Haryana,Palwal,Hodal,chc,Hodal,NA,27.9,77.3667,Y,Physical,Rural,Public,4716858578
Haryana,Palwal,Aurangabad,chc,Aurangabad,NA,28.02781,77.32957,Y,Physical,Rural,Public,7168138381
Haryana,Palwal,Hathin,chc,Hathin,NA,28.05,77.3296,Y,Physical,Rural,Public,1216332179
Haryana,Rewari,Khol,chc,Khol,NA,28.05654,76.31915,Y,Physical,Rural,Public,1114763210
Haryana,Mewat,Nuh,chc,Nuh,NA,28.08817,77.0231,Y,Physical,Rural,Public,1114681131
Haryana,Mahendragarh,Dochana,chc,Dochana,NA,28.088792,75.98449,Y,Physical,Rural,Public,NA
Haryana,Mahendragarh,Ateli,chc,Ateli,NA,28.101,76.24,Y,Physical,Rural,Public,NA
Haryana,Palwal,Dudola,chc,Alawalpur,NA,28.1746,77.3769,Y,Physical,Rural,Public,2756385783
Haryana,Mahendragarh,Nangal Sirohi,chc,Nangal Sirohi,NA,28.186759,76.129106,Y,Physical,Rural,Public,NA
Haryana,Palwal,Dudola,chc,Dudola,NA,28.20559,77.26997,Y,Physical,Rural,Public,5155488488
Haryana,Gurgaon,Ghangola,chc,Ghangola,NA,28.23,77.11,Y,Physical,Rural,Public,NA
Haryana,Rewari,Meerpur,chc,Meerpur,NA,28.241564,76.695986,Y,Physical,Rural,Public,1114761719
Haryana,Gurgaon,Pataudi,chc,Pataudi,NA,28.29,76.33,Y,Physical,Rural,Public,NA
Haryana,Rewari,Gurawara,chc,Gurawara,NA,28.29515,76.063,Y,Physical,Rural,Public,1114765165
Haryana,Mahendragarh,Mahendragarh,chc,Satnali,NA,28.321014,76.21458,Y,Physical,Rural,Public,NA
Haryana,Faridabad,Kurali,chc,Kurali,NA,28.32923,77.45809,Y,Physical,Rural,Public,1114722232
Haryana,Mahendragarh,Kanina,chc,Kanina,NA,28.33,76.31,Y,Physical,Rural,Public,5666742845
Haryana,Rewari,Nahar,chc,Nahar,NA,28.35159,76.55388,Y,Physical,Rural,Public,1114761537
Haryana,Faridabad,Faridabad Urban,chc,UHC Sehatpur,NA,28.37,77.32,Y,Physical,Urban,Public,1114723222
Haryana,Faridabad,Kheri Kalan,chc,Kheri Kalan,NA,28.3966,77.2696,Y,Physical,Rural,Public,1114722174
Haryana,Rewari,Bawal,chc,Bawal,NA,28.40943,76.397,Y,Physical,Rural,Public,1114762220
Haryana,Gurgaon,Farrukh Nagar,chc,Farrukh Nagar,NA,28.41,76.79,Y,Physical,Rural,Public,NA
Haryana,Faridabad,Faridabad Urban,chc,UHC Sanjay Colony,NA,28.41,77.34,Y,Physical,Urban,Public,1114723164
Haryana,Mahendragarh,Sehlang,chc,Sehlang,NA,28.42,76.24,Y,Physical,Rural,Public,NA
Haryana,Gurgaon,gurgaon,chc,Polyclinic Sector 31,NA,28.45,77.07,Y,Physical,Urban,Public,NA
Haryana,Rohtak,Kalanaur,chc,Kahanaur,NA,28.45,76.29,Y,Physical,Rural,Public,NA
Haryana,Rohtak,Sampla,chc,Sampla,NA,28.4633,76.461,Y,Physical,Rural,Public,NA
Haryana,Jhajjar,Dhakla,chc,Dhakla,NA,28.50759,76.53559,Y,Physical,Rural,Public,NA
Haryana,Rohtak,Rohtak,chc,Polyclinic Sector 3,NA,28.5358,76.3504,Y,Physical,Urban,Public,NA
Haryana,Jhajjar,Badli,chc,Badli,NA,28.53945,76.84424,Y,Physical,Rural,Public,NA
Haryana,Rohtak,Meham,chc,Madina,NA,28.56,76.26,Y,Physical,Rural,Public,NA
Haryana,Rohtak,Kiloi,chc,Kiloi,NA,28.5648,76.4253,Y,Physical,Rural,Public,NA
Haryana,Rohtak,Meham,chc,Meham,NA,28.5759,76.1739,Y,Physical,Rural,Public,NA
Haryana,Bhiwani,Loharu,chc,Loharu,NA,28.62,75.61,Y,Physical,Rural,Public,NA
Haryana,Jhajjar,Dubaldhan,chc,Dubaldhan,NA,28.67441,76.505691,Y,Physical,Rural,Public,NA
Haryana,Bhiwani,Manheru,chc,Manheru,NA,28.7,76.21,Y,Physical,Rural,Public,NA
Haryana,Jhajjar,Chhara,chc,Chhara,NA,28.70904,76.70809,Y,Physical,Rural,Public,NA
Haryana,Bhiwani,Bond Kalan,chc,Bond Kalan,NA,28.76696,76.07407,Y,Physical,Rural,Public,NA
Haryana,Jhajjar,Dighal,chc,Dighal,NA,28.7703,76.62163,Y,Physical,Rural,Public,NA
Haryana,Rohtak,Kalanaur,chc,Kalanaur,NA,28.831237,76.39556,Y,Physical,Rural,Public,NA
Haryana,Bhiwani,Miran,chc,Miran,NA,28.84,75.73,Y,Physical,Rural,Public,NA
Haryana,Bhiwani,Gopi,chc,Gopi,NA,28.84818,75.54643,Y,Physical,Rural,Public,NA
Haryana,Bhiwani,Jhojhu Kalan,chc,Jhojhu Kalan,NA,28.84819,75.54644,Y,Physical,Rural,Public,NA
Haryana,Bhiwani,Kairu,chc,Kairu,NA,28.84819,75.54644,Y,Physical,Rural,Public,NA
Haryana,Bhiwani,Dhanana,chc,Dhanana,NA,28.8482,75.54645,Y,Physical,Rural,Public,NA
Haryana,Bhiwani,Tosham,chc,Tosham,NA,28.86,75.71,Y,Physical,Rural,Public,NA
Haryana,Jhajjar,Jamalpur,chc,Jamalpur,NA,28.8766,76.6174,Y,Physical,Rural,Public,NA
Haryana,Sonipat,Kharkhoda,chc,Kharkhoda,NA,28.881783,76.911877,Y,Physical,Rural,Public,4267638577
Haryana,Sonipat,Badh Khalsa,chc,Badh Khalsa,NA,28.908179,77.111121,Y,Physical,Rural,Public,6643754853
Haryana,Sonipat,Ferozepur Bangar,chc,Ferozepur Bangar,NA,28.928574,77.091494,Y,Physical,Rural,Public,7548837512
Haryana,Sonipat,Sonepat,chc,Poly Clinic Sector 7,NA,28.99,77.03,Y,Physical,Urban,Public,NA
Haryana,Hisar,Mangali,chc,Mangali,NA,29.039,75.733,Y,Physical,Rural,Public,NA
Haryana,Hisar,Sorkhi,chc,Sorkhi,NA,29.053,76.121,Y,Physical,Rural,Public,NA
Haryana,Jind,Kalwa,chc,Kalwa,NA,29.0588,76.0856,Y,Physical,Rural,Public,NA
Haryana,Sonipat,Juan,chc,Juan,NA,29.09,76.88,Y,Physical,Rural,Public,6713487814
Haryana,Hisar,AryaNagar,chc,Aryangar,NA,29.12,75.72,Y,Physical,Rural,Public,1717711319
Haryana,Sonipat,Ganaur,chc,Ganaur,NA,29.12,77.02,Y,Physical,Rural,Public,8322486724
Haryana,Jind,Julana,chc,Julana,NA,29.13629,76.40749,Y,Physical,Rural,Public,NA
Haryana,Hisar,Sisai,chc,Sisai,NA,29.173,76.014,Y,Physical,Rural,Public,NA
Haryana,Sonipat,Mundlana,chc,Mundlana,NA,29.203586,76.774048,Y,Physical,Rural,Public,1734438243
Haryana,Hisar,Siswal,chc,Siswal,NA,29.213,75.51,Y,Physical,Rural,Public,NA
Haryana,Hisar,Narnaund,chc,Narnaund,NA,29.224,76.145,Y,Physical,Rural,Public,NA
Haryana,Panipat,Samalkha,chc,Samalkha,NA,29.24,76.98,Y,Physical,Rural,Public,NA
Haryana,Fatehabad,Bhuna,chc,Bhuna,NA,29.24473,76.04188,Y,Physical,Rural,Public,4288462171
Haryana,Fatehabad,Jakhal,chc,Jakhal,NA,29.24479,76.04188,Y,Physical,Rural,Public,6517532211
Haryana,Panipat,Bapoli,chc,Dadlana,NA,29.3,77.06,Y,Physical,Rural,Public,NA
Haryana,Panipat,Ahar,chc,Ahar,NA,29.3022,76.90743,Y,Physical,Rural,Public,NA
Haryana,Jind,District HQ,chc,Polyclinic Sector 8,NA,29.30623,76.34218,Y,Physical,Urban,Public,NA
Haryana,Jind,Kandela,chc,Kandela,NA,29.30625,76.3422,Y,Physical,Rural,Public,NA
Haryana,Jind,Kharak Ramji,chc,Kharak Ramji,NA,29.30628,76.34223,Y,Physical,Rural,Public,NA
Haryana,Rohtak,Chiri,chc,Chiri,NA,29.332,76.324,Y,Physical,Rural,Public,NA
Haryana,Hisar,Barwala,chc,Barwala,NA,29.361,75.908,Y,Physical,Rural,Public,NA
Haryana,Fatehabad,Bhattu Kalan,chc,Bhattu Kalan,NA,29.36584,75.32948,Y,Physical,Rural,Public,5186311311
Haryana,Sirsa,Nathusari Chopta,chc,Nathusari Chopta,NA,29.37,75.12,Y,Physical,Rural,Public,NA
Haryana,Panipat,Bapoli,chc,Bapoli,NA,29.37,76.88,Y,Physical,Rural,Public,NA
Haryana,Jind,Safidon,chc,Safidon,NA,29.41499,76.68049,Y,Physical,Rural,Public,NA
Haryana,Sirsa,Madho Singhana,chc,Madhosinghana,NA,29.43,74.93,Y,Physical,Rural,Public,NA
Haryana,Sirsa,Ellenabad,chc,Ellenabad,NA,29.46,74.67,Y,Physical,Rural,Public,NA
Haryana,Jind,Uchana,chc,Uchana,NA,29.4888,76.13535,Y,Physical,Rural,Public,NA
Haryana,Karnal,Assandh,chc,Assandh,NA,29.4916,76.5529,Y,Physical,Rural,Public,NA
Haryana,Hisar,Uklana,chc,Uklana,NA,29.508,75.885,Y,Physical,Rural,Public,8633543379
Haryana,Sirsa,Rania,chc,Rania,NA,29.52,74.83,Y,Physical,Rural,Public,NA
Haryana,Fatehabad,Fatehabad,chc,HUDA Polyclinic Sector 3,NA,29.52,75.47,Y,Physical,Urban,Public,NA
Haryana,Kaithal,Rajound,chc,Rajound,NA,29.577222,76.483889,Y,Physical,Rural,Public,NA
Haryana,Karnal,Gharaunda,chc,Gharaunda,NA,29.584,76.8473,Y,Physical,Rural,Public,8188582624
Haryana,Jind,Ujhana,chc,Ujhana,NA,29.59585,76.1244,Y,Physical,Rural,Public,NA
Haryana,Kaithal,Kalayat,chc,Kalayat,NA,29.67421,76.78539,Y,Physical,Rural,Public,NA
Haryana,Karnal,Ballah,chc,Balla,NA,29.6757,76.337,Y,Physical,Rural,Public,NA
Haryana,Sirsa,Bada Gudha,chc,Baragudha,NA,29.7,75,Y,Physical,Rural,Public,NA
Haryana,Fatehabad,Ratia,chc,Ratia,NA,29.70435,75.56165,Y,Physical,Rural,Public,4736876311
Haryana,Karnal,Nissing,chc,Nissing,NA,29.732,76.7401,Y,Physical,Rural,Public,8133377468
Haryana,Kaithal,Pundri,chc,Pundri,NA,29.762065,76.554187,Y,Physical,Rural,Public,NA
Haryana,Sirsa,Odhan,chc,Odhan,NA,29.82,74.96,Y,Physical,Rural,Public,NA
Haryana,Kaithal,Kaul,chc,Kaul,NA,29.849766,76.661485,Y,Physical,Rural,Public,NA
Haryana,Kaithal,Siwan,chc,Siwan,NA,29.887222,76.354722,Y,Physical,Rural,Public,NA
Haryana,Karnal,Indri,chc,Indri,NA,29.8953,77.0812,Y,Physical,Rural,Public,NA
Haryana,Sirsa,Dabwali,chc,Dabwali,NA,29.96,74.7,Y,Physical,Rural,Public,NA
